Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2012-135545,24-11-2012,30-11-2012,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
CA-2012-135545,24-11-2012,30-11-2012,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
CA-2012-135545,24-11-2012,30-11-2012,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
CA-2012-135545,24-11-2012,30-11-2012,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
CA-2011-106376,05-12-2011,10-12-2011,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
CA-2011-106376,05-12-2011,10-12-2011,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
CA-2011-139451,12-10-2011,16-10-2011,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
CA-2011-139451,12-10-2011,16-10-2011,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
CA-2013-109806,18-09-2013,23-09-2013,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
CA-2013-109806,18-09-2013,23-09-2013,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
CA-2013-109806,18-09-2013,23-09-2013,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
US-2014-109484,07-11-2014,13-11-2014,Standard Class,Roger Barcio,Home Office,United States,Portland,Oregon,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
CA-2014-157833,18-06-2014,21-06-2014,First Class,Katherine Ducich,Consumer,United States,San Francisco,California,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
US-2012-156867,13-11-2012,17-11-2012,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
US-2012-156867,13-11-2012,17-11-2012,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
US-2012-156867,13-11-2012,17-11-2012,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
CA-2012-110457,02-03-2012,06-03-2012,Standard Class,Dave Kipp,Consumer,United States,Seattle,Washington,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813
US-2014-107272,06-11-2014,13-11-2014,Standard Class,Troy Staebel,Consumer,United States,Phoenix,Arizona,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
US-2014-107272,06-11-2014,13-11-2014,Standard Class,Troy Staebel,Consumer,United States,Phoenix,Arizona,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
US-2013-125969,07-11-2013,11-11-2013,Second Class,Lindsay Shagiari,Home Office,United States,Los Angeles,California,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
US-2013-125969,07-11-2013,11-11-2013,Second Class,Lindsay Shagiari,Home Office,United States,Los Angeles,California,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
CA-2013-145583,14-10-2013,20-10-2013,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,Office Supplies,Paper,Xerox 195,20.04,3,0,9.6192
CA-2013-145583,14-10-2013,20-10-2013,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,Office Supplies,Paper,Xerox 1880,35.44,1,0,16.6568
CA-2013-145583,14-10-2013,20-10-2013,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456
CA-2013-145583,14-10-2013,20-10-2013,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0,1.9698
CA-2013-145583,14-10-2013,20-10-2013,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616
CA-2013-145583,14-10-2013,20-10-2013,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0,18.4464
CA-2013-145583,14-10-2013,20-10-2013,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0,20.6976
CA-2014-106180,19-09-2014,24-09-2014,Standard Class,Sally Hughsby,Corporate,United States,San Francisco,California,Office Supplies,Art,Newell 343,8.82,3,0,2.3814
CA-2014-106180,19-09-2014,24-09-2014,Standard Class,Sally Hughsby,Corporate,United States,San Francisco,California,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0,5.1042
CA-2014-106180,19-09-2014,24-09-2014,Standard Class,Sally Hughsby,Corporate,United States,San Francisco,California,Office Supplies,Paper,Xerox 1911,143.7,3,0,68.976
CA-2012-110744,07-09-2012,12-09-2012,Standard Class,Helen Andreada,Consumer,United States,Pasadena,California,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0,20.1579
CA-2013-158834,14-03-2013,17-03-2013,First Class,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766
CA-2013-158834,14-03-2013,17-03-2013,First Class,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388
CA-2012-124919,31-05-2012,02-06-2012,First Class,Stephanie Phelps,Corporate,United States,San Jose,California,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0,26.271
CA-2012-124919,31-05-2012,02-06-2012,First Class,Stephanie Phelps,Corporate,United States,San Jose,California,Office Supplies,Paper,Xerox 1883,105.52,4,0,48.5392
CA-2012-124919,31-05-2012,02-06-2012,First Class,Stephanie Phelps,Corporate,United States,San Jose,California,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0,21.0288
CA-2012-118948,28-05-2012,03-06-2012,Standard Class,Neil Knudson,Home Office,United States,Seattle,Washington,Office Supplies,Art,Newell 311,6.63,3,0,1.7901
CA-2011-104269,01-03-2011,06-03-2011,Second Class,Dave Brooks,Consumer,United States,Seattle,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764
CA-2013-162733,12-05-2013,13-05-2013,First Class,Ted Trevino,Consumer,United States,Los Angeles,California,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691
CA-2013-154508,17-11-2013,21-11-2013,Standard Class,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,Office Supplies,Envelopes,Staples,28.4,5,0,13.348
CA-2013-113817,08-11-2013,12-11-2013,Standard Class,Max Jones,Consumer,United States,Seattle,Washington,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688
CA-2011-118962,05-08-2011,09-08-2011,Standard Class,Chad Sievert,Consumer,United States,Los Angeles,California,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",20.94,3,0,9.8418
CA-2011-118962,05-08-2011,09-08-2011,Standard Class,Chad Sievert,Consumer,United States,Los Angeles,California,Office Supplies,Paper,Xerox 1913,110.96,2,0,53.2608
CA-2011-118962,05-08-2011,09-08-2011,Standard Class,Chad Sievert,Consumer,United States,Los Angeles,California,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259
CA-2011-123260,26-08-2011,30-08-2011,Standard Class,Frank Merwin,Home Office,United States,Los Angeles,California,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0,22.984
CA-2012-131457,31-10-2012,06-11-2012,Standard Class,Mary Zewe,Corporate,United States,Redlands,California,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,7,0,6.7116
CA-2011-133690,03-08-2011,05-08-2011,First Class,Bruce Stewart,Consumer,United States,Denver,Colorado,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875
CA-2011-133690,03-08-2011,05-08-2011,First Class,Bruce Stewart,Consumer,United States,Denver,Colorado,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925
CA-2014-108329,10-12-2014,15-12-2014,Standard Class,Laurel Elliston,Consumer,United States,Whittier,California,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,44.4768
CA-2013-130162,29-10-2013,02-11-2013,Standard Class,Jonathan Howell,Consumer,United States,Los Angeles,California,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6,0,26.0568
CA-2013-130162,29-10-2013,02-11-2013,Standard Class,Jonathan Howell,Consumer,United States,Los Angeles,California,Technology,Phones,Adtran 1202752G1,302.376,3,0.2,22.6782
CA-2014-160514,13-11-2014,17-11-2014,Standard Class,David Bremer,Corporate,United States,Santa Clara,California,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2,0,4.752
CA-2013-154739,11-12-2013,16-12-2013,Second Class,Logan Haushalter,Consumer,United States,San Francisco,California,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,2,0.2,28.1372
CA-2013-145625,12-09-2013,18-09-2013,Standard Class,Kelly Collister,Consumer,United States,San Diego,California,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1,0,3.5767
CA-2013-145625,12-09-2013,18-09-2013,Standard Class,Kelly Collister,Consumer,United States,San Diego,California,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37,13,0,636.0003
CA-2012-155040,10-11-2012,15-11-2012,Standard Class,Alan Hwang,Consumer,United States,Brentwood,California,Technology,Accessories,Microsoft Sculpt Comfort Mouse,79.9,2,0,35.156
CA-2014-163979,29-12-2014,03-01-2015,Second Class,Kristen Hastings,Corporate,United States,San Francisco,California,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84,4,0,210.4936
CA-2012-155334,30-07-2012,31-07-2012,First Class,Helen Andreada,Consumer,United States,San Francisco,California,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93,7,0,92.3692
CA-2012-155334,30-07-2012,31-07-2012,First Class,Helen Andreada,Consumer,United States,San Francisco,California,Furniture,Furnishings,Regeneration Desk Collection,5.28,3,0,2.3232
CA-2012-155334,30-07-2012,31-07-2012,First Class,Helen Andreada,Consumer,United States,San Francisco,California,Office Supplies,Binders,Presstex Flexible Ring Binders,10.92,3,0.2,4.095
CA-2014-118136,17-09-2014,18-09-2014,First Class,Barry Blumstein,Corporate,United States,Inglewood,California,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82,2,0,4.0572
CA-2014-118136,17-09-2014,18-09-2014,First Class,Barry Blumstein,Corporate,United States,Inglewood,California,Office Supplies,Art,Newell 330,5.98,1,0,1.5548
CA-2012-130890,02-11-2012,06-11-2012,Standard Class,Jas O'Carroll,Consumer,United States,Los Angeles,California,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,5,0.2,51.942
CA-2012-130883,26-09-2012,02-10-2012,Standard Class,Tracy Blumstein,Consumer,United States,Portland,Oregon,Office Supplies,Paper,Staples,141.76,5,0.2,47.844
CA-2012-130883,26-09-2012,02-10-2012,Standard Class,Tracy Blumstein,Consumer,United States,Portland,Oregon,Technology,Accessories,Microsoft Arc Touch Mouse,239.8,5,0.2,47.96
CA-2012-130883,26-09-2012,02-10-2012,Standard Class,Tracy Blumstein,Consumer,United States,Portland,Oregon,Office Supplies,Paper,Xerox 216,31.104,6,0.2,10.8864
CA-2011-111451,26-12-2011,28-12-2011,First Class,Kelly Lampkin,Corporate,United States,Colorado Springs,Colorado,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.416,8,0.2,78.8592
CA-2011-111451,26-12-2011,28-12-2011,First Class,Kelly Lampkin,Corporate,United States,Colorado Springs,Colorado,Furniture,Chairs,Global Deluxe Office Fabric Chairs,230.352,3,0.2,20.1558
CA-2011-111451,26-12-2011,28-12-2011,First Class,Kelly Lampkin,Corporate,United States,Colorado Springs,Colorado,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,218.352,3,0.2,-24.5646
CA-2011-111451,26-12-2011,28-12-2011,First Class,Kelly Lampkin,Corporate,United States,Colorado Springs,Colorado,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,78.6,5,0.7,-62.88
CA-2011-111451,26-12-2011,28-12-2011,First Class,Kelly Lampkin,Corporate,United States,Colorado Springs,Colorado,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",27.552,3,0.2,9.2988
CA-2013-142902,13-09-2013,15-09-2013,Second Class,Ben Peterman,Corporate,United States,Arvada,Colorado,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136,4,0.2,3.5948
CA-2013-142902,13-09-2013,15-09-2013,Second Class,Ben Peterman,Corporate,United States,Arvada,Colorado,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,466.768,2,0.2,52.5114
CA-2013-142902,13-09-2013,15-09-2013,Second Class,Ben Peterman,Corporate,United States,Arvada,Colorado,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.232,1,0.2,1.7136
CA-2013-142902,13-09-2013,15-09-2013,Second Class,Ben Peterman,Corporate,United States,Arvada,Colorado,Office Supplies,Labels,Avery 509,6.264,3,0.2,2.0358
CA-2011-156601,19-09-2011,24-09-2011,Standard Class,Frank Atkinson,Corporate,United States,Long Beach,California,Office Supplies,Fasteners,OIC Binder Clips,7.16,2,0,3.58
CA-2013-162138,24-04-2013,28-04-2013,Standard Class,Grace Kelly,Corporate,United States,Hesperia,California,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,251.52,6,0.2,81.744
CA-2013-162138,24-04-2013,28-04-2013,Standard Class,Grace Kelly,Corporate,United States,Hesperia,California,Technology,Accessories,Logitech Wireless Headset h800,99.99,1,0,34.9965
CA-2012-137946,01-09-2012,04-09-2012,Second Class,Doug Bickford,Consumer,United States,Los Angeles,California,Office Supplies,Binders,Storex Dura Pro Binders,4.752,1,0.2,1.6038
CA-2012-137946,01-09-2012,04-09-2012,Second Class,Doug Bickford,Consumer,United States,Los Angeles,California,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984,2,0.2,335.9944
CA-2012-137946,01-09-2012,04-09-2012,Second Class,Doug Bickford,Consumer,United States,Los Angeles,California,Office Supplies,Binders,Avery Non-Stick Binders,14.368,4,0.2,4.49
CA-2011-129924,12-07-2011,17-07-2011,Standard Class,Alyssa Crouse,Corporate,United States,San Francisco,California,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,7.712,2,0.2,2.7956
CA-2011-129924,12-07-2011,17-07-2011,Standard Class,Alyssa Crouse,Corporate,United States,San Francisco,California,Furniture,Tables,Hon 5100 Series Wood Tables,698.352,3,0.2,-17.4588
CA-2012-128167,22-06-2012,26-06-2012,Second Class,Ken Lonsdale,Consumer,United States,Layton,Utah,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",4.96,4,0,2.3312
CA-2014-169901,16-06-2014,20-06-2014,Standard Class,Clay Cheatham,Consumer,United States,San Francisco,California,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,47.976,3,0.2,4.7976
CA-2011-123344,24-09-2011,29-09-2011,Standard Class,Julia Dunbar,Consumer,United States,San Francisco,California,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
US-2011-119137,23-07-2011,27-07-2011,Standard Class,Arthur Gainer,Consumer,United States,Tucson,Arizona,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,8.16,5,0.7,-5.712
US-2011-119137,23-07-2011,27-07-2011,Standard Class,Arthur Gainer,Consumer,United States,Tucson,Arizona,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1023.936,8,0.2,179.1888
US-2011-119137,23-07-2011,27-07-2011,Standard Class,Arthur Gainer,Consumer,United States,Tucson,Arizona,Office Supplies,Art,Newell 324,9.24,1,0.2,0.924
US-2011-119137,23-07-2011,27-07-2011,Standard Class,Arthur Gainer,Consumer,United States,Tucson,Arizona,Technology,Accessories,Microsoft Natural Keyboard Elite,479.04,10,0.2,-29.94
CA-2013-134775,29-10-2013,30-10-2013,First Class,Alejandro Savely,Corporate,United States,San Francisco,California,Office Supplies,Paper,Southworth Structures Collection,50.96,7,0,25.48
CA-2013-134775,29-10-2013,30-10-2013,First Class,Alejandro Savely,Corporate,United States,San Francisco,California,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,0.2,17.3376
US-2011-135972,21-09-2011,23-09-2011,Second Class,Jack Garza,Consumer,United States,Des Moines,Washington,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,246.384,2,0.2,27.7182
US-2011-135972,21-09-2011,23-09-2011,Second Class,Jack Garza,Consumer,United States,Des Moines,Washington,Technology,Copiers,Canon PC1080F Personal Copier,1799.97,3,0,701.9883
CA-2014-102946,01-07-2014,06-07-2014,Standard Class,Victor Preis,Home Office,United States,Las Vegas,Nevada,Office Supplies,Binders,Tuf-Vin Binders,75.792,3,0.2,25.5798
CA-2014-117457,09-12-2014,13-12-2014,Standard Class,Keith Herrera,Consumer,United States,San Francisco,California,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,179.95,5,0,37.7895
CA-2014-117457,09-12-2014,13-12-2014,Standard Class,Keith Herrera,Consumer,United States,San Francisco,California,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,3,0.2,434.9913
CA-2014-117457,09-12-2014,13-12-2014,Standard Class,Keith Herrera,Consumer,United States,San Francisco,California,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",27.15,5,0,13.3035
CA-2014-117457,09-12-2014,13-12-2014,Standard Class,Keith Herrera,Consumer,United States,San Francisco,California,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",1004.024,7,0.2,-112.9527
CA-2014-117457,09-12-2014,13-12-2014,Standard Class,Keith Herrera,Consumer,United States,San Francisco,California,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",9.68,1,0,4.6464
CA-2014-117457,09-12-2014,13-12-2014,Standard Class,Keith Herrera,Consumer,United States,San Francisco,California,Office Supplies,Labels,Self-Adhesive Removable Labels,28.35,9,0,13.608
CA-2014-117457,09-12-2014,13-12-2014,Standard Class,Keith Herrera,Consumer,United States,San Francisco,California,Office Supplies,Paper,Xerox 1908,55.98,1,0,27.4302
CA-2014-117457,09-12-2014,13-12-2014,Standard Class,Keith Herrera,Consumer,United States,San Francisco,California,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829,13,0.15,31.4548
CA-2014-117457,09-12-2014,13-12-2014,Standard Class,Keith Herrera,Consumer,United States,San Francisco,California,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,113.568,2,0.2,-18.4548
CA-2014-142636,04-11-2014,08-11-2014,Standard Class,Kimberly Carter,Corporate,United States,Seattle,Washington,Office Supplies,Paper,Xerox 191,139.86,7,0,65.7342
CA-2014-142636,04-11-2014,08-11-2014,Standard Class,Kimberly Carter,Corporate,United States,Seattle,Washington,Furniture,Chairs,Global Deluxe Office Fabric Chairs,307.136,4,0.2,26.8744
CA-2014-122105,25-06-2014,29-06-2014,Standard Class,Caroline Jumper,Consumer,United States,Huntington Beach,California,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,95.92,8,0,25.8984
CA-2013-148796,15-04-2013,19-04-2013,Standard Class,Philip Brown,Consumer,United States,Los Angeles,California,Furniture,Chairs,Bevis Steel Folding Chairs,383.8,5,0.2,38.38
CA-2014-110478,05-03-2014,10-03-2014,Standard Class,Sung Pak,Corporate,United States,Los Angeles,California,Office Supplies,Art,American Pencil,9.32,4,0,2.7028
CA-2014-110478,05-03-2014,10-03-2014,Standard Class,Sung Pak,Corporate,United States,Los Angeles,California,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",15.25,1,0,7.015
CA-2011-142048,22-06-2011,25-06-2011,First Class,Joel Eaton,Consumer,United States,Louisville,Colorado,Technology,Accessories,KeyTronic 6101 Series - Keyboard - Black,196.752,6,0.2,56.5662
US-2011-110674,13-02-2011,19-02-2011,Standard Class,Sanjit Chand,Consumer,United States,Concord,California,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.568,2,0.2,-24.294
CA-2012-109638,15-12-2012,22-12-2012,Standard Class,Joseph Holt,Consumer,United States,Seattle,Washington,Office Supplies,Appliances,3M Office Air Cleaner,103.92,4,0,36.372
CA-2012-109638,15-12-2012,22-12-2012,Standard Class,Joseph Holt,Consumer,United States,Seattle,Washington,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,899.91,9,0,377.9622
CA-2012-109638,15-12-2012,22-12-2012,Standard Class,Joseph Holt,Consumer,United States,Seattle,Washington,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,51.312,3,0.2,18.6006
CA-2013-109869,23-04-2013,30-04-2013,Standard Class,Tanja Norvell,Home Office,United States,Phoenix,Arizona,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,0.2,7.068
CA-2013-109869,23-04-2013,30-04-2013,Standard Class,Tanja Norvell,Home Office,United States,Phoenix,Arizona,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63,6,0.5,-814.4832
CA-2013-109869,23-04-2013,30-04-2013,Standard Class,Tanja Norvell,Home Office,United States,Phoenix,Arizona,Office Supplies,Binders,Poly Designer Cover & Back,28.485,5,0.7,-20.889
CA-2013-109869,23-04-2013,30-04-2013,Standard Class,Tanja Norvell,Home Office,United States,Phoenix,Arizona,Office Supplies,Supplies,Premier Electric Letter Opener,185.376,2,0.2,-34.758
CA-2013-109869,23-04-2013,30-04-2013,Standard Class,Tanja Norvell,Home Office,United States,Phoenix,Arizona,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",78.272,2,0.2,5.8704
CA-2011-144666,09-11-2011,11-11-2011,Second Class,Jeremy Pistek,Consumer,United States,San Francisco,California,Office Supplies,Storage,SAFCO Boltless Steel Shelving,340.92,3,0,3.4092
